呾耍, tann3-sng2, 開玩笑, k10, 汕頭話讀本
呾話, tann3-ue7, 說話, k10, 汕頭話讀本
和尙, hue5-sienn3, 和尙, k10, 汕頭話讀本
和約, hua5-ieh4, 和約, k10, 汕頭話讀本
和黎郞, kha3-loi7-long1, 拍賣, k10, 汕頭話讀本
咒誓, chiu3-tshua7, 發誓, k10, 汕頭話讀本
咖喱, ka1-li5, 咖喱, k10, 汕頭話讀本
咖喱末, ka1-li5-buah8, 咖喱末, k10, 汕頭話讀本
咬嗽, ka1-sau3, 咳嗽, k00, 汕頭話讀本
咳咳叫, ka7-ka7-kie3, 咳咳叫, k10, 汕頭話讀本
哀啊, ai7--a7, 唉呀, k10, 汕頭話讀本
哼謒, hng1-tshan1, 呻吟, k10, 汕頭話讀本
唐儂, tng5-nang5, 中國人, k20, 汕頭話讀本
唐山, tng5-suann1, 中國, k10, 汕頭話讀本
唱曲, chhie3-khek4, 唱曲, k10, 汕頭話讀本
唱歌, chhie3-kua1, 唱歌, k10, 汕頭話讀本
唸經, liam7-keng1, 唸經, k10, 汕頭話讀本
商量, kau3-nienn5, 商量, k10, 汕頭話讀本
問候, mng7-hau7, 問候, k10, 汕頭話讀本
喉嚨, au5-leng3, 喉嚨, k00, 汕頭話讀本
喘氣, huann5, 喘氣, k10, 汕頭話讀本
喙臨皮, tshui3-lim5-phue5, 嘴皮, k10, 汕頭話讀本
喫草, khoi3-tshau2, 吃草, k10, 汕頭話讀本
單儂, tuann1-nang5, 單身, k10, 汕頭話讀本
單重, tuann1-teng5, 單折, k10, 汕頭話讀本
嗡嗡叫, ng1-ng1-kie3, 嗡嗡叫, k10, 汕頭話讀本
