han,puj,simple_puj,freq,phrase,phrase_puj,phrase_simple_puj
又,iũ,iu6,k00,,,
又,iū,iu7,,,,
叉,chhe,chhe1,k10,,,
叉,tsha,tsha1,,,,
及,ki̍p,kip8,k10,,,
友,iú,iu2,k00,,,
反,huán,huan2,k00,,,
反,póiⁿ,poinn2,,,,
叔,chek,chek4,k10,,,
叔,sok,sok4,,,,
取,tshú,tshu2,k00,,,
受,siũ,siu6,k00,,,
叛,puãn,puan6,,,,
叢,tsâng,tsang5,k10,,,
口,kháu,khau2,k10,,,
古,kóu,kou2,k00,,,
古,kú,ku2,,,,
句,kù,ku3,k00,,,
另,lêng,leng5,,,,
叩,khàu,khau3,,,,
只,chí,chi2,k00,只是,chí-sĩ,chi2-si6
叫,kiè,kie3,k00,,,
召,tiãu,tiau6,k10,,,
叭,pa,pa1,,,,
叮,teng,teng1,,,,
可,khiok,khiok4,,,,
可,khó,kho2,k00,,,
台,thâi,thai5,k12,兄台,hiaⁿ-thâi,hiann1-thai5
台,thâi,thai5,k12,戲台,hì-thâi,hi3-thai5
史,sṳ́,sur2,k10,,,
右,iũ,iu6,k00,,,
司,si,si1,k10,,,
司,sṳ,sur1,,,,
叼,tiau,tiau1,,,,
吁,u,u1,,長吁短嘆,chhiâng-u-tó-thàm,chhiang5-u1-to2-tham3
吃,khṳh,khurh4,,吃吃叫,khṳh-khṳh-kiè,khurh4-khurh4-kie3
吃,ngṳt,ngurt4,,吃驚,ngṳt-kiaⁿ,ngurt4-kiann1
各,kak,kak4,k00,,,
合,ha̍h,hah8,k00,,,
合,ha̍p,hap8,,,,
合,hô,ho5,,,,
合,kah,kah4,,,,
合,ka̍h,kah8,,,,
合,kap,kap4,,,,
吉,kiet,kiet4,,,,
吉,kit,kit4,k10,,,
吊,tiàu,tiau3,k10,吊燈,tiàu-teng,tiau3-teng1
同,tâng,tang5,k00,相同,sie-tâng,sie1-tang5
同,tâng,tang5,k00,相同,siang-tâng,siang1-tang5
名,mêng,meng5,,,,
名,miâⁿ,miann5,k00,,,
后,hõu,hou6,,皇后,huâng-hõu,huang5-hou6
吏,lī,li7,,,,
吐,thòu,thou3,,,,
向,hiàng,hiang3,k00,方向,huang-hiàng,huang1-hiang3
吓,hẽ,he6,,,,
君,kun,kun1,k10,,,
吝,liẽn,lien6,,,,
吞,thun,thun1,k10,,,
吟,ngîm,ngim5,,,,
吠,pūi,pui7,,,,
否,hóu,hou2,,,,
否,phí,phi2,,,,
吧,pa,pa1,,,,
吩,hun,hun1,,,,
含,hâm,ham5,k00,,,
含,kâm,kam5,,,,
吭,khàng,khang3,,,,
吭,kheⁿ,khenn1,,,,
吮,zún,zun2,,,,
吱,chiⁿ,chinn1,,,,
吳,gôu,gou5,,,,
